Median energy [keV],Density,RunPeriod,Interval
3.007007,45.187273,17/02/2018,30
3.009009,45.126412,17/02/2018,30
3.011011,45.065751,17/02/2018,30
3.013013,45.005586,17/02/2018,30
3.015015,44.9462,17/02/2018,30
3.017017,44.887856,17/02/2018,30
3.019019,44.830798,17/02/2018,30
3.021021,44.775252,17/02/2018,30
3.023023,44.721419,17/02/2018,30
3.025025,44.66948,17/02/2018,30
3.027027,44.619591,17/02/2018,30
3.029029,44.571882,17/02/2018,30
3.031031,44.526459,17/02/2018,30
3.033033,44.483401,17/02/2018,30
3.035035,44.442759,17/02/2018,30
3.037037,44.404555,17/02/2018,30
3.039039,44.368785,17/02/2018,30
3.041041,44.335413,17/02/2018,30
3.043043,44.304373,17/02/2018,30
3.045045,44.275572,17/02/2018,30
3.047047,44.248884,17/02/2018,30
3.049049,44.224153,17/02/2018,30
3.0510511,44.201194,17/02/2018,30
3.0530531,44.179788,17/02/2018,30
3.0550551,44.159691,17/02/2018,30
3.0570571,44.140627,17/02/2018,30
3.0590591,44.122292,17/02/2018,30
3.0610611,44.104354,17/02/2018,30
3.0630631,44.086455,17/02/2018,30
3.0650651,44.068211,17/02/2018,30
3.0670671,44.049217,17/02/2018,30
3.0690691,44.029042,17/02/2018,30
3.0710711,44.00724,17/02/2018,30
3.0730731,43.983343,17/02/2018,30
3.0750751,43.95687,17/02/2018,30
3.0770771,43.927326,17/02/2018,30
3.0790791,43.894208,17/02/2018,30
3.0810811,43.857003,17/02/2018,30
3.0830831,43.815196,17/02/2018,30
3.0850851,43.768269,17/02/2018,30
3.0870871,43.715707,17/02/2018,30
3.0890891,43.657001,17/02/2018,30
3.0910911,43.59165,17/02/2018,30
3.0930931,43.519163,17/02/2018,30
3.0950951,43.439067,17/02/2018,30
3.0970971,43.350906,17/02/2018,30
3.0990991,43.254246,17/02/2018,30
3.1011011,43.148678,17/02/2018,30
3.1031031,43.033822,17/02/2018,30
3.1051051,42.909326,17/02/2018,30
3.1071071,42.774875,17/02/2018,30
3.1091091,42.630188,17/02/2018,30
3.1111111,42.475022,17/02/2018,30
3.1131131,42.309177,17/02/2018,30
3.1151151,42.132495,17/02/2018,30
3.1171171,41.94486,17/02/2018,30
3.1191191,41.746205,17/02/2018,30
3.1211211,41.536508,17/02/2018,30
3.1231231,41.315794,17/02/2018,30
3.1251251,41.084137,17/02/2018,30
3.1271271,40.841661,17/02/2018,30
3.1291291,40.588535,17/02/2018,30
3.1311311,40.324979,17/02/2018,30
3.1331331,40.051258,17/02/2018,30
3.1351351,39.767685,17/02/2018,30
3.1371371,39.474616,17/02/2018,30
3.1391391,39.172451,17/02/2018,30
3.1411411,38.861633,17/02/2018,30
3.1431431,38.542642,17/02/2018,30
3.1451451,38.215997,17/02/2018,30
3.1471471,37.882249,17/02/2018,30
3.1491491,37.541983,17/02/2018,30
3.1511512,37.19581,17/02/2018,30
3.1531532,36.844368,17/02/2018,30
3.1551552,36.488315,17/02/2018,30
3.1571572,36.128327,17/02/2018,30
3.1591592,35.765095,17/02/2018,30
3.1611612,35.39932,17/02/2018,30
3.1631632,35.031708,17/02/2018,30
3.1651652,34.66297,17/02/2018,30
3.1671672,34.293812,17/02/2018,30
3.1691692,33.924934,17/02/2018,30
3.1711712,33.557028,17/02/2018,30
3.1731732,33.190768,17/02/2018,30
3.1751752,32.826812,17/02/2018,30
3.1771772,32.465793,17/02/2018,30
3.1791792,32.108317,17/02/2018,30
3.1811812,31.754962,17/02/2018,30
3.1831832,31.406268,17/02/2018,30
3.1851852,31.062739,17/02/2018,30
3.1871872,30.724837,17/02/2018,30
3.1891892,30.39298,17/02/2018,30
3.1911912,30.067538,17/02/2018,30
3.1931932,29.748833,17/02/2018,30
3.1951952,29.437133,17/02/2018,30
3.1971972,29.132657,17/02/2018,30
3.1991992,28.835565,17/02/2018,30
3.2012012,28.545964,17/02/2018,30
3.2032032,28.263907,17/02/2018,30
3.2052052,27.989389,17/02/2018,30
3.2072072,27.722352,17/02/2018,30
3.2092092,27.462683,17/02/2018,30
3.2112112,27.210218,17/02/2018,30
3.2132132,26.964744,17/02/2018,30
3.2152152,26.725999,17/02/2018,30
3.2172172,26.49368,17/02/2018,30
3.2192192,26.267438,17/02/2018,30
3.2212212,26.046893,17/02/2018,30
3.2232232,25.831629,17/02/2018,30
3.2252252,25.621204,17/02/2018,30
3.2272272,25.41515,17/02/2018,30
3.2292292,25.212984,17/02/2018,30
3.2312312,25.014208,17/02/2018,30
3.2332332,24.818317,17/02/2018,30
3.2352352,24.624802,17/02/2018,30
3.2372372,24.433158,17/02/2018,30
3.2392392,24.242887,17/02/2018,30
3.2412412,24.053503,17/02/2018,30
3.2432432,23.864537,17/02/2018,30
3.2452452,23.675541,17/02/2018,30
3.2472472,23.486094,17/02/2018,30
