300nm SiN,200μm Si,30mm Ar Abs.,20nm Al,SB,ε,Energy [keV],LLNL,DetectorEfficiency,Efficiency,Eff • SB • ε,Eff • ε,Eff • ε • LLNL,full Eff.
0.92962217,6.86556937e-11,0.9959214,0.99800539,0.778,0.8,1.5315315,0.50065279,0.92398395,0.46259514,0.57508761,0.73918716,0.37007611,0.28791922
0.93086527,1.04738186e-10,0.99552159,0.99804342,0.778,0.8,1.5415415,0.50075129,0.92488332,0.46313652,0.57564738,0.73990666,0.37050922,0.28825617
0.93206421,1.57808123e-10,0.9951,0.99807999,0.778,0.8,1.5515516,0.50084979,0.9257163,0.46364481,0.57616582,0.74057304,0.37091585,0.28857253
0.93324395,2.35581123e-10,0.99464514,0.97781645,0.778,0.8,1.5615616,0.50094829,0.90765476,0.4546881,0.56492432,0.72612381,0.36375048,0.28299788
0.93439874,3.49342518e-10,0.99416081,0.97814399,0.778,0.8,1.5715716,0.50104679,0.90863962,0.45527097,0.5655373,0.7269117,0.36421678,0.28336065
0.9355185,5.10493584e-10,0.99364656,0.97846522,0.778,0.8,1.5815816,0.50114529,0.90955656,0.45581999,0.566108,0.72764524,0.36465599,0.28370236
0.93662549,7.42432448e-10,0.99309436,0.97878252,0.778,0.8,1.5915916,0.5012438,0.9104219,0.45634333,0.56664659,0.72833752,0.36507466,0.28402809
0.93769452,1.06803797e-09,0.99251713,0.97908941,0.778,0.8,1.6016016,0.50130761,0.91121685,0.45679994,0.56714137,0.72897348,0.36543995,0.28431228
0.9387456,1.52326335e-09,0.99190044,0.9793923,0.778,0.8,1.6116116,0.50118933,0.91195347,0.45706135,0.56759984,0.72956278,0.36564908,0.28447498
0.93977789,2.16252877e-09,0.99124827,0.97968903,0.778,0.8,1.6216216,0.50107104,0.91263246,0.4572937,0.56802244,0.73010596,0.36583496,0.2846196
0.94077624,3.02814203e-09,0.99056412,0.97997823,0.778,0.8,1.6316316,0.50095276,0.91324092,0.45749056,0.56840115,0.73059274,0.36599245,0.28474213
0.94176346,4.22286781e-09,0.98983583,0.98026399,0.778,0.8,1.6416416,0.50083448,0.91379348,0.45765928,0.56874506,0.73103479,0.36612743,0.28484714
0.94272222,5.84323769e-09,0.98907706,0.98054169,0.778,0.8,1.6516517,0.50071619,0.9142815,0.45779555,0.56904881,0.7314252,0.36623644,0.28493195
